chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd
chr1	894625	894685	NOC2L_1	900	-	894625	894636
chr1	895963	896023	KLHL17_1	900	+	896012	896023
chr1	901812	901872	PLEKHN1_1	900	+	901861	901872
chr1	912050	912110	PERM1_1	900	-	912050	912061
chr1	935466	935526	HES4_1	900	-	935466	935477
chr1	935841	935901	ISG15_2	900	+	935890	935901
chr1	948827	948887	ISG15_1	900	+	948876	948887
chr1	955450	955510	AGRN_1	900	+	955499	955510
chr1	1109228	1109288	TTLL10_1	900	+	1109277	1109288
chr1	1115018	1115078	TTLL10_2	900	+	1115067	1115078
chr1	1140959	1141019	TNFRSF18_3	900	-	1140959	1140970
chr1	1141950	1142010	TNFRSF18_1	900	-	1141950	1141961
chr1	1142078	1142138	TNFRSF18_2	900	-	1142078	1142089
chr1	1149522	1149582	TNFRSF4_1	900	-	1149522	1149533
chr1	1167370	1167430	SDF4_1	900	-	1167370	1167381
chr1	1176287	1176347	SDF4_2	900	-	1176287	1176298
chr1	1209202	1209262	UBE2J2_1	900	-	1209202	1209213
chr1	1241308	1241368	ACAP3_3	900	-	1241308	1241319
chr1	1243299	1243359	ACAP3_1	900	-	1243299	1243310
chr1	1243518	1243578	PUSL1_2	900	+	1243567	1243578
chr1	1243927	1243987	PUSL1_1	900	+	1243976	1243987
chr1	1245199	1245259	ACAP3_2	900	-	1245199	1245210
chr1	1248093	1248153	INTS11_2	900	-	1248093	1248104
chr1	1260029	1260089	INTS11_1	900	-	1260029	1260040
chr1	1284498	1284558	DVL1_1	900	-	1284498	1284509
chr1	1293912	1293972	MXRA8_1	900	-	1293912	1293923
chr1	1310551	1310611	AURKAIP1_1	900	-	1310551	1310562
chr1	1310868	1310928	AURKAIP1_2	900	-	1310868	1310879
chr1	1334683	1334743	CCNL2_1	900	-	1334683	1334694
chr1	1342662	1342722	MRPL20_1	900	-	1342662	1342673
chr1	1356714	1356774	ANKRD65_1	900	-	1356714	1356725
chr1	1371020	1371080	VWA1_1	900	+	1371069	1371080
chr1	1397799	1397859	ATAD3C_1	900	+	1397848	1397859
chr1	1407111	1407171	ATAD3B_1	900	+	1407160	1407171
