chr	start	end	TSAR
chr1	10363215	10365264	TSAR.0254
chr1	10965114	10965417	TSAR.1504
chr1	10965441	10966010	TSAR.3594
chr1	10976047	10976469	TSAR.2388
chr1	11001443	11001798	TSAR.2018
chr1	11084098	11085414	TSAR.2933
chr1	11217199	11217351	TSAR.3055
chr1	12335878	12338100	TSAR.3147
chr1	13839452	13840020	TSAR.0043
chr1	16259514	16259634	TSAR.3774
chr1	16260038	16260874	TSAR.4381
chr1	16260944	16262457	TSAR.1177
chr1	16576995	16578292	TSAR.2736
chr1	18152296	18152377	TSAR.0736
chr1	18932242	18932568	TSAR.4026
chr1	19110653	19111108	TSAR.3137
chr1	20659235	20659464	TSAR.3660
chr1	21190964	21191207	TSAR.3011
chr1	21205699	21206032	TSAR.0657
chr1	21328388	21328932	TSAR.0748
chr1	21919672	21919929	TSAR.3693
chr1	22446541	22447013	TSAR.0308
chr1	22832459	22832766	TSAR.3018
chr1	22852335	22852894	TSAR.4163
chr1	23381512	23381662	TSAR.3095
chr1	23417673	23420902	TSAR.3221
chr1	24077341	24078524	TSAR.1643
chr1	24112794	24112919	TSAR.3026
chr1	24201150	24202079	TSAR.0246
chr1	24410950	24411132	TSAR.2604
chr1	25245724	25245841	TSAR.3571
chr1	25263187	25263609	TSAR.0871
chr1	25551482	25551608	TSAR.1061
chr1	26098127	26098274	TSAR.4511
chr1	26230125	26230320	TSAR.2541
chr1	26308851	26308974	TSAR.2526
chr1	26440748	26441090	TSAR.0492
chr1	26448262	26449468	TSAR.0030
chr1	26511501	26511682	TSAR.0534
chr1	26515256	26515450	TSAR.1507
chr1	26581559	26582377	TSAR.0094
chr1	26586094	26586373	TSAR.2460
chr1	26680645	26680848	TSAR.3720
chr1	26745449	26745792	TSAR.1923
chr1	27018784	27019149	TSAR.1742
chr1	27679727	27679984	TSAR.0095
chr1	27683497	27683625	TSAR.1275
chr1	27684941	27685104	TSAR.1224
chr1	27685194	27685365	TSAR.1610
chr1	27720267	27721736	TSAR.1704
chr1	27897695	27898586	TSAR.0988
chr1	27939421	27939636	TSAR.4542
chr1	27940919	27941096	TSAR.4091
chr1	28052590	28052923	TSAR.0773
chr1	28060538	28060711	TSAR.3962
chr1	28169656	28169881	TSAR.3982
chr1	28384491	28385089	TSAR.0711
chr1	28527047	28527200	TSAR.4693
chr1	28600536	28600673	TSAR.4094
chr1	28660921	28661481	TSAR.3894
chr1	28800028	28800675	TSAR.1498
chr1	28819502	28819608	TSAR.2268
chr1	28858284	28858508	TSAR.4660
chr1	29010084	29010278	TSAR.4755
chr1	29016504	29016704	TSAR.2558
chr1	29063369	29063943	TSAR.3558
chr1	29068852	29069245	TSAR.0041
chr1	29095401	29095632	TSAR.3930
chr1	29313933	29314422	TSAR.0480
chr1	29319786	29320060	TSAR.4268
chr1	29323717	29323854	TSAR.3293
chr1	29344716	29344972	TSAR.1096
chr1	29356906	29357024	TSAR.4454
chr1	29365760	29365945	TSAR.3474
chr1	29585005	29585300	TSAR.3887
chr1	31409482	31409697	TSAR.0436
chr1	36359215	36359783	TSAR.0227
chr1	37974862	37974936	TSAR.4018
chr1	38030282	38030785	TSAR.0554
chr1	38484090	38484252	TSAR.0581
chr1	39847546	39847829	TSAR.1245
chr1	40701447	40705235	TSAR.0131
chr1	41512052	41512305	TSAR.1207
chr1	42642234	42642753	TSAR.2316
chr1	43738422	43738926	TSAR.4663
chr1	43904326	43904495	TSAR.4629
