gene_name	chr	start	end
AAK1	chr2	69685126	69870977
ACSL4	chrX	108884563	108976621
ACTG1	chr17	79476996	79479892
ACVR1	chr2	158592957	158732374
ACVR2A	chr2	148602569	148688393
ADAMTS9	chr3	64501330	64673365
ADCY1	chr7	45614124	45762714
ADGRB1	chr8	143545376	143626368
ADGRV1	chr5	89854616	90460033
ADIPOQ	chr3	186560462	186576252
ADIPOR2	chr12	1800246	1897845
AFAP1L2	chr10	116054582	116164515
AFF3	chr2	100163715	100722045
AHSG	chr3	186330849	186339107
AMIGO3	chr3	49754266	49757238
ANKRD11	chr16	89334028	89556969
AP3M2	chr8	42010463	42028701
AP3S1	chr5	115177618	115249778
AP4E1	chr15	51200868	51298097
ARHGAP23	chr17	36584719	36668628
ASCC2	chr22	30184596	30234293
ASPM	chr1	197053256	197115824
ASPN	chr9	95218488	95244844
ATAD2B	chr2	23971533	24149936
ATG4B	chr2	242577026	242613271
ATP2B1	chr12	89981825	90049844
ATP2B2	chr3	10365706	10547268
ATP2B4	chr1	203595914	203713209
ATXN7L3	chr17	42269172	42275529
BAHD1	chr15	40733410	40760441
BAIAP2L2	chr22	38480895	38506676
BICD1	chr12	32260184	32531141
BPHL	chr6	3118925	3153432
C12ORF4	chr12	4596900	4647637
C9ORF72	chr9	27546542	27573491
CANT1	chr17	76987797	77005899
CASZ1	chr1	10696665	10856733
CCDC127	chr5	204874	218297
CCDC33	chr15	74528629	74628482
CCDC50	chr3	191046873	191116459
CCDC88C	chr14	91737666	91884188
CCDC92	chr12	124420954	124457163
CD164	chr6	109687716	109703762
CDC14A	chr1	100818022	100965021
CDH19	chr18	64168423	64271375
CDH23	chr10	73156690	73575704
CDK14	chr7	90338711	90839904
CDK9	chr9	130548304	130553052
CIB2	chr15	78396947	78423877
CKB	chr14	103985994	103989196
CLDN14	chr21	37832919	37838739
CLIC5	chr6	45866189	46048085
CLRN1	chr3	150601486	150690786
CMTM6	chr3	32522803	32544403
COCH	chr14	31343740	31359822
COL11A1	chr1	103342022	103574052
COL4A3BP	chr5	74666927	74807806
COL9A2	chr1	40766162	40782981
COLCA2	chr11	111169270	111179460
COQ4	chr9	131084790	131096351
CRYM	chr16	21269838	21314404
CSF3R	chr1	36931643	36948915
CSNK1G2	chr19	1941160	1981336
CSPG4	chr15	75966662	76005189
CYB5R2	chr11	7686325	7694821
DBN1	chr5	176883613	176900694
DCDC2	chr6	24171982	24358280
DCTD	chr4	183811243	183838630
DDOST	chr1	20978259	20988037
DFNA5	chr7	24737973	24797083
DFNB59	chr2	179316162	179326110
DGCR2	chr22	19023794	19109967
DIAPH3	chr13	60239720	60738119
DLG5	chr10	79550548	79686348
DMXL2	chr15	51739920	51914967
DNAJC15	chr13	43597361	43683306
DTNBP1	chr6	15523031	15663289
DUSP13	chr10	76854189	76868970
DUSP7	chr3	52082936	52090461
EDAR	chr2	109510926	109605828
EIF2S2	chr20	32676114	32700085
ELMO1	chr7	36892510	37488555
ELMO3	chr16	67233027	67237927
ELMOD1	chr11	107461816	107537505
ELMOD3	chr2	85581842	85618875
EMB	chr5	49692030	49737234
EMX1	chr2	73144603	73162020
EPHA5	chr4	66185280	66535653
EPN3	chr17	48610047	48621111
EPS8	chr12	15773074	15942510
EPS8L2	chr11	706119	727727
ERP44	chr9	102741462	102861330
ESPN	chr1	6484847	6521004
ESRRB	chr14	76837689	76968180
EWSR1	chr22	29663997	29696515
EXOC4	chr7	132937822	133750513
EXOSC3	chr9	37779710	37785089
EXOSC9	chr4	122722471	122738176
EYA4	chr6	133562494	133853258
F13A1	chr6	6144310	6320924
FAM189A2	chr9	71939487	72007370
FAM96A	chr15	64364760	64386207
FBXL16	chr16	742499	755825
FBXO33	chr14	39865576	39901704
FBXO41	chr2	73481809	73496848
FMNL3	chr12	50031723	50101197
FNBP1L	chr1	93913687	94020218
FNDC7	chr1	109255555	109285367
FOSB	chr19	45971252	45978437
FSHR	chr2	49189295	49381666
FUS	chr16	31191430	31206192
GAS2L1	chr22	29702996	29708774
GAS6	chr13	114523521	114567046
GATA2	chr3	128198264	128212030
GATA5	chr20	61038552	61051026
GATAD2B	chr1	153777202	153895451
GDF10	chr10	48425787	48439138
GDI2	chr10	5807185	5855512
GGA1	chr22	38004480	38029571
GIPC3	chr19	3585568	3593539
GJA1	chr6	121756744	121770873
GJB3	chr1	35247910	35251967
GNAI1	chr7	79764139	79848725
GORASP1	chr3	39138090	39149130
GPR156	chr3	119884327	119963325
GPR50	chrX	150345055	150349937
GPR65	chr14	88471467	88481155
GPSM2	chr1	109419602	109473044
GRHL2	chr8	102504667	102681952
GRXCR1	chr4	42895282	43032675
GRXCR2	chr5	145239295	145252531
GSTCD	chr4	106631969	106768882
GTPBP2	chr6	43588217	43596936
GYG1	chr3	148709194	148745456
H1FX	chr3	129033613	129035120
HAAO	chr2	42994228	43019751
HERC4	chr10	69681655	69835103
HGF	chr7	81331443	81399452
HIP1R	chr12	123320038	123347507
HM13	chr20	30102240	30157370
HOMER2	chr15	83517728	83621476
HOXA10	chr7	27210209	27213955
ICK	chr6	52866097	52926600
IFNLR1	chr1	24480646	24513765
IKZF5	chr10	124750321	124768203
IL10RA	chr11	117857105	117872199
IL1R2	chr2	102608305	102644884
IL6R	chr1	154377668	154441926
ILDR1	chr3	121706169	121741127
JAZF1	chr7	27870192	28220437
KARS	chr16	75661621	75681585
KCNH6	chr17	61600694	61623602
KCNQ4	chr1	41249683	41306124
KDM1A	chr1	23345940	23410184
KIAA1024L	chr5	129083883	129100756
KITLG	chr12	88886569	88974250
KLHL18	chr3	47324329	47388306
LAMA4	chr6	112429133	112575917
LAMTOR5	chr1	110943876	110950546
LANCL2	chr7	55433140	55501435
LHFPL5	chr6	35773070	35791852
LMX1A	chr1	165171103	165325478
LOR	chr1	153232178	153234600
LOXHD1	chr18	44057216	44236996
LRRCC1	chr8	86019322	86058314
LSM1	chr8	38020838	38034248
MAEA	chr4	1283671	1333925
MARVELD2	chr5	68710938	68737890
MCM2	chr3	127317199	127341278
MED25	chr19	50321535	50340237
MED28	chr4	17616272	17626160
MEMO1	chr2	32092893	32235698
MET	chr7	116312458	116438440
MIPOL1	chr14	37667117	38020464
MKRN2	chr3	12598512	12625210
MLEC	chr12	121124948	121139667
MOGS	chr2	74688183	74692537
MPDZ	chr9	13105702	13279563
MYH14	chr19	50706884	50813801
MYH9	chr22	36677322	36784063
MYO10	chr5	16662015	16936385
MYO1A	chr12	57422300	57443901
MYO3A	chr10	26223001	26501465
MYO6	chr6	76458908	76629254
MYO7A	chr11	76839309	76926286
NACAD	chr7	45120035	45128493
NARS2	chr11	78147006	78285909
NATD1	chr17	21142183	21156578
NEDD4L	chr18	55711609	56068772
NFATC3	chr16	68119268	68263162
NHSL1	chr6	138743180	138820579
NIN	chr14	51186480	51297839
NISCH	chr3	52489523	52527088
NMRAL1	chr16	4511694	4524896
NPTN	chr15	73852343	73925753
NR6A1	chr9	127284702	127533576
NXN	chr17	702552	882998
OSBPL2	chr20	60813579	60871269
OTOA	chr16	21689834	21772050
OTOF	chr2	26680070	26781566
OTOG	chr11	17568919	17667491
OXSM	chr3	25831562	25836025
P2RX2	chr12	133195402	133198972
P3H1	chr12	3918026	3982608
PARP11	chr7	139723548	139763521
PARP12	chr11	59404191	59436511
PATL1	chr17	36890149	36904561
PCDH15	chr10	55580859	56561051
PCGF2	chr2	173420778	173463862
PDE1C	chr7	31792631	32338383
PDK1	chr16	2587964	2653191
PFKFB1	chrX	54959566	55020511
PHF3	chr6	64356431	64424405
PHF6	chrX	133507341	133562822
PIAS2	chr18	44390022	44497495
PIGM	chr1	159997461	160001783
PLCB2	chr15	40580097	40600174
PLCB4	chr20	9288446	9461462
PLEKHA8	chr7	30067976	30124278
PLPP6	chr9	4662293	4665272
PNN	chr14	39644386	39652422
PODN	chr1	53527723	53551174
POP4	chr19	30097169	30108162
POU3F4	chrX	82763268	82764775
POU4F3	chr5	145718586	145720083
PPIP5K2	chr5	102465009	102539224
PPM1A	chr14	60712469	60765805
PPP2R5D	chr6	42952236	42980083
PRDM14	chr8	70963885	70983562
PRKAB1	chr12	120105760	120119429
PTCHD1	chrX	23352984	23414918
PTPDC1	chr9	96846710	96872138
PTPRQ	chr12	80838125	81073968
PTPRR	chr12	71031852	71314584
PUM2	chr2	20448452	20527139
PYROXD1	chr12	21590537	21624182
RAB32	chr6	146864827	146876086
RASAL2	chr1	178062863	178448648
RASD1	chr17	17397752	17399709
REST	chr4	57775078	57802010
RIMS3	chr1	41086351	41131324
RNF10	chr12	120972131	121015397
ROPN1L	chr5	10441973	10465138
ROR1	chr1	64239689	64647179
RORA	chr15	60780482	60919729
RWDD1	chr6	116892582	116914436
S1PR2	chr19	10332108	10341948
SCARF2	chr22	20778873	20792146
SCN4A	chr17	62015913	62050278
SCRIB	chr8	144873089	144897549
SELENOK	chr3	53919225	53925989
SEMA3F	chr3	50192847	50226508
SERINC3	chr20	43124863	43150726
SERPINF1	chr17	1665258	1680859
SFXN3	chr10	102790995	102800998
SGSH	chr17	78183078	78194199
SH3TC2	chr5	148361712	148442737
SIX1	chr14	61111416	61116155
SKIDA1	chr10	21804024	21806751
SLC17A8	chr12	100750856	100815837
SLC17A9	chr20	61583998	61599949
SLC26A4	chr7	107301079	107358252
SLC26A5	chr7	103014654	103086624
SLC3A1	chr2	44502596	44547962
SLC4A10	chr2	162480844	162841786
SLC5A5	chr19	17982781	18005983
SLITRK1	chr13	84451342	84456528
SLTM	chr15	59171243	59225852
SMOC1	chr14	70346113	70499083
SMPX	chrX	21724089	21776278
SOCS1	chr16	11348273	11350039
SOSTDC1	chr7	16501105	16505482
SPNS2	chr17	4440056	4443228
SRRM4	chr12	119419299	119600856
SRSF7	chr2	38970740	38978636
SUGT1	chr13	53226830	53262433
TBCCD1	chr3	186263855	186285141
TBCK	chr4	106967232	107237423
TBX4	chr17	59533806	59561664
TDRP	chr8	439789	494845
TEAD1	chr11	12695968	12966284
TECTA	chr11	120973374	121061515
TERB1	chr16	66788878	66835523
TFEB	chr6	41651715	41703997
THADA	chr2	43457974	43823185
THBS1	chr15	39873279	39889668
THRA	chr17	38219067	38250120
TMC1	chr9	75136716	75451267
TMED10	chr14	75598170	75643349
TMEM108	chr3	132757170	133116619
TMEM132E	chr17	32907767	32966337
TMEM184B	chr22	38615297	38668670
TMPRSS3	chr21	43791995	43816955
TMTC4	chr13	101256089	101327103
TNC	chr9	117781853	117880536
TOX	chr8	59717976	60031767
TPRN	chr9	140086068	140095163
TRAM2	chr6	52362199	52441862
TRIM29	chr11	119981993	120008863
TRIM71	chr3	32859509	32933771
TRIOBP	chr22	38092994	38172563
TSPEAR	chr21	45917774	46131495
TWIST2	chr2	239756672	239832237
UBE2B	chr5	133706869	133727799
UBE2G1	chr17	4172511	4269969
UBLCP1	chr5	158690088	158713048
UBXN10	chr1	20512577	20519942
UNC119	chr17	26873724	26879646
UNC119B	chr12	121148237	121161443
USH1C	chr11	17515441	17565963
USP3	chr15	63796709	63886839
VTI1A	chr10	114206755	114578504
VWA3A	chr16	22103862	22168287
WDR37	chr10	1102775	1178237
WDTC1	chr1	27561006	27635124
WFS1	chr4	6271576	6304992
WHRN	chr9	117164359	117267736
ZCCHC14	chr16	87439851	87525460
ZHX3	chr20	39807088	39928739
ZNF148	chr3	124944512	125094198
AHRR	chr5	304291	438405
ANKRD53	chr2	71205574	71212629
AP4M1	chr7	99699129	99704803
ARF3	chr12	49329991	49351252
ARRB2	chr17	4613788	4624795
ATF6B	chr6	32083044	32096017
BLVRB	chr19	40953690	40971725
BSND	chr1	55464616	55474465
C9ORF43	chr9	116173021	116191879
CABP2	chr11	67286417	67290899
CASP12	chr11	104756444	104769397
CBLN3	chr14	24895739	24898731
CCDC160	chrX	133371076	133379808
CDAN1	chr15	43015759	43029417
CDCA5	chr11	64844926	64851615
CDIPT	chr16	29869677	29874578
CEACAM16	chr19	45202420	45213986
COL11A2	chr6	33130468	33160245
CXCL3	chr4	74902311	74904490
CYP4B1	chr1	47264669	47285021
DCTN1	chr2	74588280	74607482
DENND1C	chr19	6467217	6481798
DIABLO	chr12	122692208	122712068
DIAPH1	chr5	140894587	140998622
DMP1	chr4	88571453	88585512
DNASE1	chr16	3702939	3708096
DNASE1L2	chr16	2286467	2288712
DSPP	chr4	88529680	88538025
DUOXA2	chr15	45406522	45410301
DYNLL1	chr12	120933858	120936298
DYRK1B	chr19	40315989	40324841
EPS8L1	chr19	55587220	55599291
ETHE1	chr19	44010870	44031396
FAM151A	chr1	55074849	55089200
FAM65B	chr6	24804512	24911195
FBXL8	chr16	67193890	67198077
FBXO24	chr7	100187195	100198740
FGFR4	chr5	176513920	176525126
FKBPL	chr6	32096483	32098067
FTSJ1	chrX	48334548	48344752
GJB2	chr13	20761603	20767114
GJB4	chr1	35225341	35229325
GJB6	chr13	20796100	20806534
GPR152	chr11	67218771	67220200
GPSM3	chr6	32158542	32163300
HIRIP3	chr16	30003641	30007417
HNRNPH1	chr5	179041178	179050711
HSD17B1	chr17	40703983	40707232
HTRA4	chr8	38831667	38846181
INO80B	chr2	74682149	74685087
KLC2	chr11	66025173	66035332
KLF14	chr7	130417395	130418888
KRTAP17-1	chr17	39471168	39471947
LDHB	chr12	21788274	21810789
LOC653786	chr16	22557018	22588186
LRTOMT	chr11	71791376	71821828
MAG	chr19	35782988	35804709
MAP3K10	chr19	40697650	40721482
MCM7	chr7	99690403	99699427
MIR96	chr7	129414532	129414609
MSRB3	chr12	65672766	65860687
MT-CO1	chrM	5904	7446
MT-RNR1	chrM	650	1603
MT-TS1	chrM	7447	7515
MYH1	chr17	10395626	10421859
MYO15A	chr17	18012019	18083116
NLRP3	chr1	247579457	247612406
NOS1AP	chr1	162039580	162339813
OCM	chr7	5920428	5925994
ODF3L2	chr19	463345	474983
PLAC8	chr4	84011210	84031012
PLIN4	chr19	4502191	4517716
PRPS1	chrX	106871653	106894256
PTMA	chr2	232573234	232578250
RDX	chr11	110045604	110167437
RIPK3	chr14	24805226	24809242
RSAD1	chr17	48556189	48563336
RYR1	chr19	38924339	39078204
SERPINB6	chr6	2948392	2971543
SLC22A4	chr5	131630144	131679899
SNAI2	chr8	49830238	49833999
STRC	chr15	43891760	44010016
STX16	chr20	57226308	57254582
SYNE4	chr19	36494001	36499672
TAAR6	chr6	132891460	132892498
